"","listener","Group","Q.ASLN.NoAlt","Q.ASLN.Alt","AMSSN.ASLN.Alt","MDR_F.ASLN.Alt","ENG_F.ASLN.Alt","Q.CCRM.NoAlt","Q.CCRM.Alt","AMSSN.CCRM.Alt","MDR_F.CCRM.Alt","ENG_F.CCRM.Alt","CCRM_F.CCRM.Alt"
"1","APD01","APD",2.84669351058151,1.01443582474155,-0.187142983546738,0.827735037914717,0.00867585679816987,-1.73121800716466,0.715205430322112,0.437931701790664,-0.494699944908125,0.462772198427845,0.135781896192629
"2","APD02","APD",0.739213262769899,-0.477922734768847,-0.229760789443582,-0.262966484468537,-0.517820124527896,1.57048291221497,0.845161302487077,0.535332715996846,0.130309911277675,1.0538113598016,0.605448442642255
"3","APD03","APD",1.68985374404088,-0.494743023249842,-0.820506117697467,-1.31276669976242,-2.96388643159359,-1.42778322779035,-0.791846328209245,-0.744430370166765,0.19844050916406,-0.774432081715436,0.754453511996221
"4","APD04","APD",3.74398681551798,0.203710125396641,4.49951000213665,1.15494549462969,0.940344479973699,0.354469009791448,-0.0307688673865656,0.124230805925565,0.344845361299244,1.16185602092339,1.87124748887544
"5","APD05","APD",3.10955080012739,0.777768696294487,2.57951614276625,1.23220351913184,0.467289557043448,-0.0684749904435409,0.270817344833609,2.62283867345785,1.41766069357547,1.1046082327103,0.128573514775237
"6","APD06","APD",0.336619479506992,-0.786802204455049,2.26116933132285,0.727754065029589,-0.546712398585356,-0.116045218568778,0.608748728272172,2.56027309333372,0.933791378518802,3.25284534470556,2.23707056731655
"7","APD07","APD",2.55928092396345,0.367238421443894,1.11226577675463,3.87715471091123,2.22307371024537,-0.909896644668742,-0.334108260413704,-1.39220664713384,1.42843619906887,-0.714269939053662,2.09673694346249
"8","APD08","APD",1.92853424597126,1.96167812888531,3.03381832883926,2.09113096800866,2.62773574831106,-0.0464258737076455,0.988467156959082,0.86943842861994,0.603961858197346,0.512814513417372,1.15507386841526
"9","APD09","APD",1.21083732620927,0.00304454096099538,1.11781659131474,2.79554236788116,1.60955067553689,0.68458721687826,-0.9746981483987,1.88922264111009,0.475296982788324,-0.435123102555714,1.50638006685488
"10","APD10","APD",3.64965789895146,2.12007782073515,1.6095165852794,5.36778012483501,3.08616941860756,1.2964619094712,2.24257164694917,2.43462574636229,2.86083801668854,2.09311901669183,1.78800297098355
"11","APD11","APD",1.56174618690626,0.0866616713059677,2.24280124393195,-0.453839250885607,-0.753661866604233,5.6977587126554,3.58023414495622,7.95358327138013,4.0567555335714,3.20634908199979,1.47203103763552
"12","APD12","APD",2.24971179356196,1.92062562263792,0.753852301793367,2.65987239887504,1.35543482484024,3.69833927672429,1.92373768696247,1.61752313040923,3.68043301220371,1.50363589981614,1.2266684755673
"13","APD13","APD",1.08844619010282,-0.195337718386672,1.06879014900252,0.0637699009111172,1.62155010843913,0.370731468771597,0.0363348587026932,4.13601962797633,2.60132368006199,1.29308263764199,0.720656259616372
"14","APD15","APD",-0.325331510631735,0.517012797669912,2.18711382414756,3.20455543877488,1.24953304407937,2.61420438890039,2.14558324422651,2.63607753913367,0.930910573185492,2.05350763257805,1.23761074431178
"15","APD16","APD",-0.280653593203628,-0.209390369719681,1.38988429157032,-0.631078248272884,-0.983048903013737,1.74820612715711,0.863009526335653,0.111090655409439,-0.648168728208183,-0.804998790707683,-0.0586441677435774
"16","APD17","APD",-0.764285102682063,0.664713102024267,-0.316846672757315,0.0506102032166481,1.10760347854918,2.15664360482669,0.895392602175639,2.76708418365618,0.789484526338784,1.04543634822734,1.06037967411691
"17","APD18","APD",0.197058560922847,-0.527744004228917,2.68399457836833,0.26130611610999,-1.85556153929678,0.272291967371505,-1.65712332907123,1.15741326229343,-1.1215609175678,-0.498105213866211,1.33893537465055
"18","APD19","APD",2.1358280208245,0.588651348553549,2.44459245555049,2.69101680531944,0.584069719477124,1.83194621739994,-0.360304243824104,3.25873493519563,1.07779985090248,1.44026728235826,0.88145572605444
"19","APD20","APD",2.99418034875421,1.31005752300057,4.36429473611507,2.91824628914928,2.06591244463575,0.12433341283958,0.105229354890405,1.63098203732916,2.38510094389247,0.996638974532372,0.296525614641531
"20","APD21","APD",3.2983842083933,-0.0561969240287132,1.96711147613449,0.146046586425183,0.850014801814755,0.339383821450468,0.334999102911257,0.349184535793966,-0.00540602121745907,-0.243290888459669,-1.58957876635947
"21","TD01","TD",0.518256627906745,-0.128480989062291,1.83037675514778,1.59122610358299,-0.580478423520732,0.769281780536363,-0.365906942651365,-0.139141333565978,0.383119534231523,-0.0889197533759307,-1.27392538515162
"22","TD02","TD",-1.39761978869132,-1.71878438909439,-1.05813644449345,-1.14916147140493,-4.43876384730161,-1.80140604825736,-1.17266921418188,-0.868271063607099,-1.65627953120897,-1.11863593168148,-1.11943439169957
"23","TD03","TD",0.00361690080785329,0.768360337098881,-0.130754692903446,0.327830173489053,1.34274475820545,0.850890126724742,-0.010175582803417,-0.130457153835381,0.988762965239045,1.45245252076006,1.46932334444398
"24","TD04","TD",6.05432816146659,1.28183244541374,5.14360471110359,2.91370169947269,0.412977834966305,2.35641593650475,1.18091593631366,2.50216348399513,0.982356631362675,1.7826414218544,1.20450634420146
"25","TD05","TD",-0.255747145865731,-0.907478981226953,0.60026894838087,0.681834096928289,0.242486569213644,-1.1067457388369,-0.0841044666957992,-0.27644093392624,-1.02527405495402,2.98907123854941,0.860845397126189
"26","TD06","TD",-0.808773765381831,1.39731481236082,-0.618384089524016,-0.131173383847223,-0.2315192036848,1.14968062557844,1.58405312271695,1.13994618767256,0.26467202695951,0.541391214623936,0.054767243282002
"27","TD07","TD",-0.747311414730433,-0.296635822745894,1.11551778999251,-0.732663794704531,0.554817385522099,0.627352620072084,0.25766035228333,1.81413181235268,0.0981179442678949,0.476994373275049,-0.303180770009656
"28","TD08","TD",-1.69351921928519,1.21731892863774,0.203212874806442,-1.1809735991411,-1.63172905881022,0.00502206534278352,1.38889144758726,-0.63782898950682,-1.25191307912476,-1.37923150884516,1.27397120353893
"29","TD09","TD",-1.37436875532427,0.462768325622772,-0.1985192769106,-0.173843990632111,-2.057807457699,1.40032223053133,-0.118696457107235,0.923388212652056,1.30987635778598,0.259980704368464,-1.76480978535817
